version,nx,ny,iters,threads_or_procs,time_s,checksum
seq,100,100,1000,1,0.005356073,149721.203125
seq,500,500,1000,1,0.231984711,883632.437500
seq,1000,1000,1000,1,0.790717173,1800892.875000
