version,nx,ny,iters,threads_or_procs,time_s,checksum
seq,100,100,1000,1,0.005651617,149721.203125
seq,500,500,1000,1,0.221775341,883632.437500
seq,1000,1000,1000,1,0.834468126,1800892.875000
